date,,,,close
2014/5/22,,,,15.18 
2014/5/23,,,,15.19 
2014/5/27,,,,15.19 
2014/5/28,,,,15.21 
2014/5/30,,,,15.14 
2014/6/2,,,,15.13 
2014/6/3,,,,15.12 
2014/6/4,,,,15.12 
2014/6/5,,,,15.14 
2014/6/6,,,,15.18 
2014/6/10,,,,15.20 
2014/6/11,,,,15.19 
2014/6/12,,,,15.19 
2014/6/13,,,,15.20 
2014/6/16,,,,15.19 
2014/6/17,,,,15.18 
2014/6/18,,,,15.20 
2014/6/19,,,,15.22 
2014/6/20,,,,15.24 
2014/6/24,,,,15.24 
2014/6/25,,,,15.24 
2014/6/26,,,,15.24 
2014/6/27,,,,15.25 
2014/6/30,,,,15.15 
2014/7/1,,,,15.15 
2014/7/2,,,,15.14 
2014/7/3,,,,15.15 
2014/7/7,,,,15.16 
2014/7/8,,,,15.17 
2014/7/9,,,,15.17 
2014/7/10,,,,15.15 
2014/7/11,,,,15.16 
2014/7/14,,,,15.16 
2014/7/15,,,,15.14 
2014/7/16,,,,15.14 
2014/7/17,,,,15.11 
2014/7/18,,,,15.11 
2014/7/21,,,,15.10 
2014/7/22,,,,15.11 
2014/7/23,,,,15.13 
2014/7/24,,,,15.14 
2014/7/25,,,,15.13 
2014/7/28,,,,15.12 
2014/7/29,,,,15.10 
2014/7/30,,,,15.08 
2014/7/31,,,,14.92 
2014/8/1,,,,14.87 
2014/8/4,,,,14.88 
2014/8/5,,,,14.88 
2014/8/6,,,,14.86 
2014/8/7,,,,14.87 
2014/8/8,,,,14.87 
2014/8/11,,,,14.91 
2014/8/12,,,,14.93 
2014/8/13,,,,14.96 
2014/8/14,,,,15.00 
2014/8/18,,,,15.03 
2014/8/19,,,,15.04 
2014/8/20,,,,15.04 
2014/8/21,,,,15.04 
2014/8/22,,,,15.04 
2014/8/25,,,,15.04 
2014/8/26,,,,15.06 
2014/8/27,,,,15.07 
2014/8/28,,,,15.07 
2014/8/29,,,,14.98 
2014/9/2,,,,14.96 
2014/9/3,,,,14.96 
2014/9/4,,,,14.94 
2014/9/5,,,,14.93 
2014/9/8,,,,14.90 
2014/9/9,,,,14.88 
2014/9/10,,,,14.85 
2014/9/11,,,,14.84 
2014/9/12,,,,14.83 
2014/9/15,,,,14.81 
2014/9/16,,,,14.80 
2014/9/17,,,,14.80 
2014/9/18,,,,14.81 
2014/9/19,,,,14.83 
2014/9/22,,,,14.81 
2014/9/23,,,,14.79 
2014/9/24,,,,14.77 
2014/9/25,,,,14.73 
2014/9/26,,,,14.68 
2014/9/29,,,,14.63 
2014/9/30,,,,14.56 
2014/10/1,,,,14.57 
2014/10/2,,,,14.57 
2014/10/3,,,,14.60 
2014/10/6,,,,14.63 
2014/10/7,,,,14.62 
2014/10/8,,,,14.61 
2014/10/9,,,,14.59 
2014/10/10,,,,14.53 
2014/10/13,,,,14.54 
2014/10/14,,,,14.51 
2014/10/15,,,,14.44 
2014/10/16,,,,14.43 
2014/10/17,,,,14.52 
2014/10/20,,,,14.53 
2014/10/21,,,,14.59 
2014/10/22,,,,14.61 
2014/10/23,,,,14.62 
2014/10/24,,,,14.63 
2014/10/27,,,,14.63 
2014/10/28,,,,14.64 
2014/10/29,,,,14.64 
2014/10/30,,,,14.64 
2014/10/31,,,,14.55 
2014/11/3,,,,14.55 
2014/11/4,,,,14.53 
2014/11/5,,,,14.52 
2014/11/6,,,,14.51 
2014/11/7,,,,14.52 
2014/11/10,,,,14.51 
2014/11/11,,,,14.51 
2014/11/12,,,,14.51 
2014/11/13,,,,14.50 
2014/11/14,,,,14.49 
2014/11/17,,,,14.46 
2014/11/18,,,,14.45 
2014/11/19,,,,14.43 
2014/11/20,,,,14.41 
2014/11/21,,,,14.46 
2014/11/24,,,,14.47 
2014/11/25,,,,14.48 
2014/11/26,,,,14.50 
2014/11/28,,,,14.38 
2014/12/1,,,,14.31 
2014/12/2,,,,14.28 
2014/12/3,,,,14.28 
2014/12/4,,,,14.28 
2014/12/5,,,,14.26 
2014/12/8,,,,14.22 
2014/12/9,,,,14.16 
2014/12/10,,,,14.12 
2014/12/11,,,,14.08 
2014/12/12,,,,14.02 
2014/12/15,,,,13.94 
2014/12/16,,,,13.87 
2014/12/17,,,,13.94 
2014/12/18,,,,14.05 
2014/12/19,,,,14.11 
2014/12/22,,,,14.13 
2014/12/23,,,,14.13 
2014/12/24,,,,14.14 
2014/12/29,,,,14.15 
2014/12/30,,,,14.16 
2014/12/31,,,,14.07 
2015/1/2,,,,14.07 
2015/1/5,,,,14.03 
2015/1/6,,,,14.00 
2015/1/7,,,,14.03 
2015/1/8,,,,14.07 
2015/1/9,,,,14.09 
2015/1/12,,,,14.08 
2015/1/13,,,,14.08 
2015/1/14,,,,14.05 
2015/1/15,,,,14.06 
2015/1/16,,,,14.05 
2015/1/20,,,,14.04 
2015/1/21,,,,14.04 
2015/1/22,,,,14.06 
2015/1/23,,,,14.08 
2015/1/26,,,,14.09 
2015/1/27,,,,14.09 
2015/1/28,,,,14.11 
2015/1/29,,,,14.10 
2015/1/30,,,,14.01 
2015/2/2,,,,14.01 
2015/2/3,,,,14.05 
2015/2/4,,,,14.05 
2015/2/5,,,,14.07 
2015/2/6,,,,14.09 
2015/2/9,,,,14.09 
2015/2/10,,,,14.08 
2015/2/11,,,,14.07 
2015/2/12,,,,14.09 
2015/2/13,,,,14.11 
2015/2/17,,,,14.11 
2015/2/18,,,,14.13 
2015/2/19,,,,14.12 
2015/2/20,,,,14.13 
2015/2/23,,,,14.14 
2015/2/24,,,,14.18 
2015/2/25,,,,14.19 
2015/2/26,,,,14.20 
2015/2/27,,,,14.13 
2015/3/2,,,,14.12 
2015/3/3,,,,14.12 
2015/3/4,,,,14.10 
2015/3/5,,,,14.11 
2015/3/6,,,,14.07 
2015/3/9,,,,14.06 
2015/3/10,,,,14.02 
2015/3/11,,,,14.03 
2015/3/12,,,,14.04 
2015/3/13,,,,14.01 
2015/3/16,,,,13.98 
2015/3/17,,,,13.96 
2015/3/18,,,,13.97 
2015/3/19,,,,13.99 
2015/3/20,,,,14.02 
2015/3/23,,,,14.04 
2015/3/24,,,,14.05 
2015/3/25,,,,14.05 
2015/3/26,,,,14.04 
2015/3/27,,,,14.04 
2015/3/30,,,,14.05 
2015/3/31,,,,13.99 
2015/4/1,,,,13.99 
2015/4/2,,,,14.01 
2015/4/7,,,,14.05 
2015/4/8,,,,14.07 
2015/4/9,,,,14.08 
2015/4/10,,,,14.10 
2015/4/13,,,,14.10 
2015/4/14,,,,14.10 
2015/4/15,,,,14.12 
2015/4/16,,,,14.12 
2015/4/17,,,,14.11 
2015/4/20,,,,14.12 
2015/4/21,,,,14.12 
2015/4/22,,,,14.12 
2015/4/23,,,,14.13 
2015/4/24,,,,14.15 
2015/4/27,,,,14.16 
2015/4/28,,,,14.15 
2015/4/29,,,,14.13 
2015/4/30,,,,14.04 
2015/5/4,,,,14.04 
2015/5/5,,,,14.04 
2015/5/6,,,,14.02 
2015/5/7,,,,14.01 
2015/5/8,,,,14.05 
2015/5/11,,,,14.04 
2015/5/12,,,,14.01 
2015/5/13,,,,14.03 
2015/5/15,,,,14.05 
2015/5/18,,,,14.04 
2015/5/19,,,,14.03 
2015/5/20,,,,14.02 
2015/5/21,,,,14.04 
2015/5/22,,,,14.04 
2015/5/26,,,,14.03 
2015/5/27,,,,14.04 
2015/5/28,,,,14.04 
2015/5/29,,,,13.96 
2015/6/1,,,,13.95 
2015/6/2,,,,13.94 
2015/6/3,,,,13.93 
2015/6/4,,,,13.91 
2015/6/5,,,,13.88 
2015/6/8,,,,13.86 
2015/6/9,,,,13.84 
2015/6/10,,,,13.83 
2015/6/11,,,,13.84 
2015/6/12,,,,13.84 
2015/6/15,,,,13.81 
2015/6/16,,,,13.80 
2015/6/17,,,,13.81 
2015/6/18,,,,13.82 
2015/6/19,,,,13.84 
2015/6/22,,,,13.85 
2015/6/24,,,,13.85 
2015/6/25,,,,13.84 
2015/6/26,,,,13.82 
2015/6/29,,,,13.77 
2015/6/30,,,,13.68 
2015/7/1,,,,13.69 
2015/7/2,,,,13.71 
2015/7/6,,,,13.67 
2015/7/7,,,,13.66 
2015/7/8,,,,13.64 
2015/7/9,,,,13.64 
2015/7/10,,,,13.66 
2015/7/13,,,,13.67 
2015/7/14,,,,13.67 
2015/7/15,,,,13.68 
2015/7/16,,,,13.68 
2015/7/17,,,,13.68 
2015/7/20,,,,13.66 
2015/7/21,,,,13.65 
2015/7/22,,,,13.61 
2015/7/23,,,,13.58 
2015/7/24,,,,13.56 
2015/7/27,,,,13.52 
2015/7/28,,,,13.53 
2015/7/29,,,,13.56 
2015/7/30,,,,13.58 
2015/7/31,,,,13.50 
2015/8/3,,,,13.49 
2015/8/4,,,,13.48 
2015/8/5,,,,13.47 
2015/8/6,,,,13.44 
2015/8/7,,,,13.42 
2015/8/10,,,,13.41 
2015/8/11,,,,13.38 
2015/8/12,,,,13.35 
2015/8/13,,,,13.35 
2015/8/14,,,,13.36 
2015/8/17,,,,13.35 
2015/8/18,,,,13.34 
2015/8/19,,,,13.33 
2015/8/20,,,,13.29 
2015/8/21,,,,13.26 
2015/8/24,,,,13.17 
2015/8/25,,,,13.20 
2015/8/26,,,,13.20 
2015/8/27,,,,13.25 
2015/8/28,,,,13.28 
2015/8/31,,,,13.18 
2015/9/1,,,,13.16 
2015/9/2,,,,13.15 
2015/9/3,,,,13.17 
2015/9/4,,,,13.16 
2015/9/8,,,,13.17 
2015/9/9,,,,13.19 
2015/9/10,,,,13.18 
2015/9/11,,,,13.18 
2015/9/14,,,,13.17 
2015/9/15,,,,13.16 
2015/9/16,,,,13.15 
2015/9/17,,,,13.16 
2015/9/18,,,,13.15 
2015/9/21,,,,13.14 
2015/9/22,,,,13.08 
2015/9/23,,,,13.07 
2015/9/24,,,,13.01 
2015/9/25,,,,13.00 
2015/9/28,,,,12.92 
2015/9/29,,,,12.87 
2015/9/30,,,,12.79 
2015/10/1,,,,12.78 
2015/10/2,,,,12.76 
2015/10/5,,,,12.82 
2015/10/6,,,,12.85 
2015/10/7,,,,12.91 
2015/10/8,,,,12.92 
2015/10/9,,,,12.97 
2015/10/12,,,,12.98 
2015/10/13,,,,12.96 
2015/10/14,,,,12.95 
2015/10/15,,,,12.96 
2015/10/16,,,,12.99 
2015/10/19,,,,13.00 
2015/10/20,,,,13.01 
2015/10/21,,,,13.01 
2015/10/22,,,,13.01 
2015/10/23,,,,13.04 
2015/10/26,,,,13.04 
2015/10/27,,,,13.03 
2015/10/28,,,,13.03 
2015/10/29,,,,13.03 
2015/10/30,,,,12.94 
2015/11/2,,,,12.96 
2015/11/3,,,,12.98 
2015/11/4,,,,12.98 
2015/11/5,,,,12.96 
2015/11/6,,,,12.92 
2015/11/9,,,,12.88 
2015/11/10,,,,12.86 
2015/11/11,,,,12.86 
2015/11/12,,,,12.82 
2015/11/13,,,,12.79 
2015/11/16,,,,12.78 
2015/11/17,,,,12.80 
2015/11/18,,,,12.80 
2015/11/19,,,,12.78 
2015/11/20,,,,12.77 
2015/11/23,,,,12.77 
2015/11/24,,,,12.74 
2015/11/25,,,,12.75 
2015/11/27,,,,12.75 
2015/11/30,,,,12.66 
2015/12/1,,,,12.67 
2015/12/2,,,,12.67 
2015/12/3,,,,12.63 
2015/12/4,,,,12.61 
2015/12/7,,,,12.57 
2015/12/8,,,,12.51 
2015/12/9,,,,12.51 
2015/12/10,,,,12.49 
2015/12/11,,,,12.38 
2015/12/14,,,,12.26 
2015/12/15,,,,12.32 
2015/12/16,,,,12.34 
2015/12/17,,,,12.34 
2015/12/18,,,,12.30 
2015/12/21,,,,12.29 
2015/12/22,,,,12.30 
2015/12/23,,,,12.34 
2015/12/24,,,,12.35 
2015/12/28,,,,12.35 
2015/12/29,,,,12.37 
2015/12/30,,,,12.37 
2015/12/31,,,,12.29 
2016/1/4,,,,12.25 
2016/1/5,,,,12.28 
2016/1/6,,,,12.28 
2016/1/7,,,,12.24 
2016/1/8,,,,12.25 
2016/1/11,,,,12.22 
2016/1/12,,,,12.20 
2016/1/13,,,,12.16 
2016/1/14,,,,12.10 
2016/1/15,,,,12.00 
2016/1/19,,,,11.99 
2016/1/20,,,,11.88 
2016/1/21,,,,11.91 
2016/1/22,,,,12.01 
2016/1/25,,,,12.01 
2016/1/26,,,,12.02 
2016/1/27,,,,12.03 
2016/1/28,,,,12.06 
2016/1/29,,,,12.01 
2016/2/1,,,,11.99 
2016/2/2,,,,11.94 
2016/2/3,,,,11.92 
2016/2/4,,,,11.92 
2016/2/5,,,,11.89 
2016/2/8,,,,11.77 
2016/2/9,,,,11.70 
2016/2/10,,,,11.72 
2016/2/11,,,,11.61 
2016/2/12,,,,11.65 
2016/2/16,,,,11.70 
2016/2/17,,,,11.78 
2016/2/18,,,,11.82 
2016/2/19,,,,11.81 
2016/2/22,,,,11.85 
2016/2/23,,,,11.85 
2016/2/24,,,,11.82 
2016/2/25,,,,11.93 
2016/2/26,,,,11.92 
2016/2/29,,,,11.87 
2016/3/1,,,,11.95 
2016/3/2,,,,12.01 
2016/3/3,,,,12.06 
2016/3/4,,,,12.14 
2016/3/7,,,,12.17 
2016/3/8,,,,12.16 
2016/3/9,,,,12.16 
2016/3/10,,,,12.20 
2016/3/11,,,,12.31 
2016/3/14,,,,12.33 
2016/3/15,,,,12.29 
2016/3/16,,,,12.30 
2016/3/17,,,,12.39 
2016/3/18,,,,12.45 
2016/3/21,,,,12.47 
2016/3/22,,,,12.46 
2016/3/23,,,,12.45 
2016/3/24,,,,12.40 
2016/3/29,,,,12.45 
2016/3/30,,,,12.44 
2016/3/31,,,,12.38 
2016/4/1,,,,12.39 
2016/4/4,,,,12.40 
2016/4/5,,,,12.38 
2016/4/6,,,,12.40 
2016/4/7,,,,12.39 
2016/4/8,,,,12.41 
2016/4/11,,,,12.43 
2016/4/12,,,,12.46 
2016/4/13,,,,12.53 
2016/4/14,,,,12.56 
2016/4/15,,,,12.57 
2016/4/18,,,,12.57 
2016/4/19,,,,12.63 
2016/4/20,,,,12.68 
2016/4/21,,,,12.69 
2016/4/22,,,,12.68 
2016/4/25,,,,12.67 
2016/4/26,,,,12.68 
2016/4/27,,,,12.78 
2016/4/28,,,,12.76 
2016/4/29,,,,12.68 
2016/5/2,,,,12.67 
2016/5/3,,,,12.61 
2016/5/4,,,,12.57 
2016/5/6,,,,12.53 
2016/5/9,,,,12.54 
2016/5/10,,,,12.57 
2016/5/11,,,,12.60 
2016/5/12,,,,12.61 
2016/5/13,,,,12.59 
2016/5/17,,,,12.61 
2016/5/18,,,,12.57 
2016/5/19,,,,12.53 
2016/5/20,,,,12.56 
2016/5/23,,,,12.57 
2016/5/24,,,,12.60 
2016/5/25,,,,12.63 
2016/5/26,,,,12.72 
2016/5/27,,,,12.65 
2016/5/31,,,,12.56 
2016/6/1,,,,12.55 
2016/6/2,,,,12.56 
2016/6/3,,,,12.60 
2016/6/6,,,,12.65 
2016/6/7,,,,12.69 
2016/6/8,,,,12.71 
2016/6/9,,,,12.74 
2016/6/10,,,,12.66 
2016/6/13,,,,12.66 
