Date,Open,High,Low,Close,Volume,Adj Close
2015-11-05,65.65,65.65,65.25,65.40,5888000,65.40
2015-11-04,64.75,65.60,64.70,65.55,16529000,65.55
2015-11-03,63.80,64.40,63.80,64.30,9282000,64.30
2015-11-02,63.10,63.40,62.60,63.30,4813000,63.30
2015-10-30,63.30,63.45,62.80,63.20,5974000,63.20
2015-10-29,64.10,64.30,63.10,63.30,8367000,63.30
2015-10-28,64.20,64.25,63.60,63.75,5057000,63.75
2015-10-27,64.50,64.55,63.95,64.20,5706000,64.20
2015-10-26,64.50,64.85,64.45,64.55,12054000,64.55
2015-10-23,66.20,66.50,65.85,65.90,20515000,65.90
2015-10-22,65.30,65.60,65.25,65.50,8048000,65.50
2015-10-21,66.10,66.15,65.40,65.50,11471000,65.50
2015-10-20,66.00,66.10,65.80,65.95,4519000,65.95
2015-10-19,66.00,66.20,65.70,65.95,7397000,65.95
2015-10-16,65.95,66.00,65.60,65.75,8181000,65.75
2015-10-15,65.65,66.35,65.65,66.00,14332000,66.00
2015-10-14,65.30,65.30,64.95,65.05,7117000,65.05
2015-10-13,65.60,65.65,65.15,65.30,7479000,65.30
2015-10-12,65.05,65.90,65.05,65.55,17447000,65.55
2015-10-08,65.10,65.30,64.60,64.70,12345000,64.70
2015-10-07,63.90,64.85,63.90,64.85,8615000,64.85
2015-10-06,64.15,64.70,63.85,63.90,8285000,63.90
2015-10-05,63.80,64.00,63.25,63.40,5372000,63.40
2015-10-02,63.35,63.60,63.10,63.25,7563000,63.25
2015-10-01,62.60,63.70,62.20,63.60,11966000,63.60
2015-09-30,61.45,62.60,61.45,62.40,8559000,62.40
2015-09-25,62.15,62.35,61.60,62.25,5959000,62.25
2015-09-23,63.20,63.20,62.20,62.35,10024000,62.35
2015-09-22,63.55,63.95,63.55,63.80,4320000,63.80
2015-09-21,64.05,64.10,63.20,63.45,9964000,63.45
2015-09-18,65.00,65.00,64.55,64.85,3497000,64.85
2015-09-17,64.50,65.15,64.50,65.00,12861000,65.00
2015-09-16,63.65,64.00,63.40,63.90,7408000,63.90
2015-09-15,63.75,63.85,63.05,63.15,5733000,63.15
2015-09-14,63.90,64.00,63.25,63.65,4368000,63.65
2015-09-11,63.30,63.70,63.05,63.50,7921000,63.50
2015-09-10,63.80,63.80,63.15,63.45,10170000,63.45
2015-09-09,62.65,64.15,62.65,64.15,23959000,64.15
2015-09-08,61.50,61.65,61.10,61.45,9628000,61.45
2015-09-07,61.30,62.30,61.10,61.25,10140000,61.25
2015-09-04,62.15,62.55,61.35,61.35,15774000,61.35
2015-09-03,62.35,62.40,61.60,62.15,7531000,62.15
2015-09-02,61.10,62.30,60.95,62.10,18154000,62.10
2015-08-31,61.30,62.35,61.20,62.30,18843000,62.30
2015-08-28,61.00,61.90,61.00,61.80,18661000,61.80
2015-08-27,60.60,60.65,60.00,60.15,18309000,60.15
2015-08-26,59.30,60.50,58.65,60.35,17068000,60.35
2015-08-25,57.50,60.00,57.50,60.00,43402000,60.00
2015-08-24,59.10,59.10,55.40,57.50,61249000,57.50
2015-08-21,60.60,60.75,59.80,59.80,27963000,59.80
2015-08-20,61.25,61.85,60.95,61.40,19298000,61.40
2015-08-19,62.40,62.50,61.30,61.60,17560000,61.60
